program_key,conference_regular_season_championships,conference_tournament_championships,ncaa_tournament_appearances,final_four_appearances,national_championships,best_finish_key,best_finish_year,verification_status,verification_basis,canonical_crosscheck_status,notes
loyola-maryland,0,2,2,0,0,ROUND_OF_64,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
loyola-marymount,3,2,5,0,0,ELITE_EIGHT,1990,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
lsu,14,1,24,4,0,FINAL_FOUR,2006,VERIFIED,"OWNER GATE 1 APPROVED: authoritative LSU/institutional research supports 14 conference regular-season championships, 1 conference-tournament championship, 24 NCAA Tournament appearances, 4 Final Fours, 0 NCAA national championships, best finish FINAL_FOUR, most recent best-finish year 2006.",MATCH,Verified through onboarding plan ecbf9419b69f.
maine,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
manhattan,13,5,8,0,0,SWEET_SIXTEEN,1958,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
marist,4,2,2,0,0,ROUND_OF_64,1987,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
marquette,4,2,37,3,1,NATIONAL_CHAMPION,1977,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
marshall,4,4,6,0,0,ROUND_OF_32,2018,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
maryland,7,4,31,2,1,NATIONAL_CHAMPION,2002,VERIFIED,"Owner-approved authoritative Maryland athletics accomplishment evidence: 31 NCAA appearances, 2 Final Fours, 1 national championship (2002), 7 conference regular-season championships, and 4 conference tournament championships.",MATCH,Verified through onboarding plan 3879a5e5e007.
maryland-eastern-shore,2,1,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
massachusetts,15,5,9,1,0,FINAL_FOUR,1996,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
mcneese,8,5,5,0,0,ROUND_OF_32,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
memphis,15,13,29,3,0,NATIONAL_RUNNER_UP,2008,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
mercer,4,6,3,0,0,ROUND_OF_32,2014,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
mercyhurst,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
merrimack,4,1,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
miami,3,1,13,1,0,FINAL_FOUR,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,Owner Miami/ACC row mapped deterministically to Miami (FL).
miami-oh,19,4,18,0,0,SWEET_SIXTEEN,1999,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
michigan,16,4,33,9,2,NATIONAL_CHAMPION,2026,VERIFIED,"Owner Gate 1 verified Michigan's authoritative record-book values: 16 conference regular-season championships, 4 conference tournament championships, 33 NCAA appearances, 9 Final Fours, 2 national championships, Best Finish NATIONAL_CHAMPION, Best Finish Year 2026; NCAA-derived fields match the package cross-check.",MATCH,Verified through onboarding plan d745708e62eb.
michigan-state,17,6,39,10,2,NATIONAL_CHAMPION,2000,VERIFIED,"Owner Gate 1: authoritative Michigan State and Big Ten evidence verifies 39 NCAA Tournament appearances, 10 Final Fours, two national championships, National Champion as the best finish with 2000 as the most recent title year, 17 conference regular-season championships, and six conference tournament championships.",MATCH,Verified through onboarding plan b3c51c694481.
middle-tennessee,10,7,9,0,0,ROUND_OF_32,2017,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
milwaukee,4,4,4,0,0,SWEET_SIXTEEN,2005,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
minnesota,9,0,14,1,0,FINAL_FOUR,1997,VERIFIED,"Owner verified against the 2025-26 Minnesota Men's Basketball Media Guide and the site's on-court-history convention: 9 conference regular-season championships, 0 conference tournament championships, 14 NCAA Tournament appearances, 1 Final Four, 0 national championships, best NCAA finish Final Four in 1997. Vacated on-court accomplishments remain part of site history.",MATCH,Verified through onboarding plan 311d4926c7e8.
mississippi-state,10,4,14,1,0,FINAL_FOUR,1996,VERIFIED,"Owner verified Mississippi State's accomplishment reference from the official record-book history: 10 conference regular-season championships, 4 conference-tournament championships, 14 NCAA Tournament appearances, 1 Final Four, 0 national championships, best NCAA finish Final Four in 1996.",MATCH,Verified through onboarding plan b4ff9b46fd0b.
mississippi-valley-state,6,5,5,0,0,ROUND_OF_64,2008,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
missouri,15,8,31,0,0,ELITE_EIGHT,2009,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,MATCH,
missouri-state,5,3,6,0,0,SWEET_SIXTEEN,1999,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
monmouth,5,4,4,0,0,ROUND_OF_64,2006,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
montana,12,12,13,0,0,SWEET_SIXTEEN,1975,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
montana-state,11,5,6,0,0,SWEET_SIXTEEN,1951,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
morehead-state,12,6,9,0,0,SWEET_SIXTEEN,1961,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
morgan-state,3,3,2,0,0,ROUND_OF_64,2010,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
mount-st-mary-s,2,7,7,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
murray-state,28,18,18,0,0,ROUND_OF_32,2022,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
navy,9,6,11,0,0,ELITE_EIGHT,1986,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
nc-state,13,18,30,4,2,NATIONAL_CHAMPION,1983,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
nebraska,7,1,9,0,0,SWEET_SIXTEEN,2026,VERIFIED,"Owner Gate 1 verified Nebraska's accomplishment reference values against the official 2025-26 Nebraska Men's Basketball Media Guide: 7 regular-season conference championships and 1 postseason/conference-tournament championship. The authoritative preflight canonical cross-check independently matches the NCAA fields: 9 NCAA appearances, Sweet Sixteen best finish in 2026, 0 Final Fours, and 0 national championships.",MATCH,Verified through onboarding plan 5f2761f662ba.
nevada,13,5,11,0,0,SWEET_SIXTEEN,2018,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
new-hampshire,1,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
new-haven,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
new-mexico,12,7,17,0,0,SWEET_SIXTEEN,1974,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
new-mexico-state,20,13,26,1,0,FINAL_FOUR,1970,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
new-orleans,8,4,5,0,0,ROUND_OF_32,1987,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
niagara,3,2,3,0,0,SWEET_SIXTEEN,1970,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
nicholls,5,2,2,0,0,ROUND_OF_64,1998,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
njit,1,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
norfolk-state,6,4,4,0,0,ROUND_OF_32,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-alabama,1,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-carolina,42,26,55,21,6,NATIONAL_CHAMPION,2017,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-carolina-a-t,13,16,10,0,0,ROUND_OF_64,2013,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-carolina-central,4,4,4,0,0,ROUND_OF_64,2014,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-dakota,3,1,1,0,0,ROUND_OF_64,2017,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-dakota-state,5,6,5,0,0,ROUND_OF_32,2014,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-florida,3,1,1,0,0,PLAY_IN_ROUND,2015,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
north-texas,5,4,4,0,0,ROUND_OF_32,2021,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
northeastern,12,9,9,0,0,ROUND_OF_32,1984,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
northern-arizona,4,2,2,0,0,ROUND_OF_64,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
northern-colorado,2,1,1,0,0,ROUND_OF_64,2011,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
northern-illinois,3,2,3,0,0,ROUND_OF_64,1996,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
northern-iowa,4,7,9,0,0,SWEET_SIXTEEN,2010,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
northern-kentucky,2,4,3,0,0,ROUND_OF_64,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
northwestern,2,0,3,0,0,ROUND_OF_32,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,MATCH,
northwestern-state,2,3,3,0,0,ROUND_OF_32,2006,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
notre-dame,0,1,37,1,0,FINAL_FOUR,1978,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
oakland,5,4,4,0,0,ROUND_OF_32,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ohio,14,7,14,0,0,SWEET_SIXTEEN,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ohio-state,22,5,36,11,1,NATIONAL_CHAMPION,1960,VERIFIED,"Owner Gate 1 verified Ohio State accomplishment reference under the project's on-court-history policy: 22 conference regular-season championships, 5 conference-tournament championships, 36 NCAA appearances, 11 Final Fours, 1 national championship, best finish NATIONAL_CHAMPION in 1960. Vacated administrative status remains separately preserved.",MATCH,Verified through onboarding plan bf79cf5e9b46.
oklahoma,14,7,34,5,0,NATIONAL_RUNNER_UP,1988,VERIFIED,"Owner Gate 1 verified Oklahoma's accomplishment reference against the official 2025-26 Oklahoma Men's Basketball Media Guide / record history: 14 conference regular-season championships, 7 conference-tournament championships, 34 NCAA Tournament appearances, 5 Final Fours, 0 national championships, and best NCAA finish NATIONAL_RUNNER_UP in 1988.",MATCH,Verified through onboarding plan e870ebf520e6.
oklahoma-state,19,4,29,6,2,NATIONAL_CHAMPION,1946,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
old-dominion,7,9,12,0,0,ROUND_OF_32,2010,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
ole-miss,0,3,10,0,0,SWEET_SIXTEEN,2025,VERIFIED,"Owner-approved Ole Miss accomplishment reference, documented from the official Ole Miss source package: 0 regular-season conference titles, 3 conference-tournament titles (1928 Southern, 1981 SEC, 2013 SEC), 10 NCAA appearances, 0 Final Fours, 0 national titles, best NCAA finish Sweet Sixteen, most recent best-finish year 2025.",MATCH,Verified through onboarding plan fbb15d83444f.
omaha,1,1,1,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
oral-roberts,7,7,7,0,0,ELITE_EIGHT,1974,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
oregon,8,6,19,2,1,NATIONAL_CHAMPION,1939,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
oregon-state,15,1,18,2,0,FINAL_FOUR,1963,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
pacific,13,5,9,0,0,ELITE_EIGHT,1967,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
penn-state,0,1,10,1,0,FINAL_FOUR,1954,VERIFIED,"Owner Gate 1 verified Penn State's accomplishment reference values against authoritative Penn State history and the canonical NCAA cross-check: 10 NCAA appearances, one Final Four in 1954, no national championships, and one conference tournament championship.",MATCH,Verified through onboarding plan 426bdc5e3e76.
pennsylvania,39,2,25,1,0,FINAL_FOUR,1979,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
pepperdine,12,3,13,0,0,ELITE_EIGHT,1944,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
pittsburgh,10,4,27,1,0,FINAL_FOUR,1941,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
portland,0,1,2,0,0,ROUND_OF_32,1959,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
portland-state,3,2,2,0,0,ROUND_OF_64,2009,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
prairie-view-a-m,4,3,3,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
presbyterian,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
princeton,36,2,26,1,0,FINAL_FOUR,1965,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
providence,1,2,22,2,0,FINAL_FOUR,1987,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
purdue,26,3,37,3,0,NATIONAL_RUNNER_UP,2024,VERIFIED,"Owner Gate 1 verified Purdue official records: 26 conference regular-season championships, 3 conference-tournament championships, 37 NCAA Tournament appearances, 3 Final Fours, 0 national championships, and NATIONAL_RUNNER_UP as the best NCAA finish, most recently in 2024.",MATCH,Verified through onboarding plan 7a38ae038dd3.
purdue-fort-wayne,2,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
queens-university,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
quinnipiac,3,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
radford,6,3,3,0,0,ROUND_OF_64,2018,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
rhode-island,14,2,10,0,0,ELITE_EIGHT,1998,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
rice,10,0,4,0,0,ELITE_EIGHT,1942,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
richmond,7,7,10,0,0,SWEET_SIXTEEN,2011,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
rider,12,3,3,0,0,ROUND_OF_64,1994,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
robert-morris,12,10,9,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
rutgers,5,4,8,1,0,FINAL_FOUR,1976,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
sacramento-state,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
sacred-heart,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
saint-joseph-s,20,6,21,1,0,ELITE_EIGHT,2004,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
saint-louis,8,3,11,0,0,ELITE_EIGHT,1952,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
saint-mary-s,11,5,15,0,0,ELITE_EIGHT,1959,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
saint-peter-s,6,5,5,0,0,ELITE_EIGHT,2022,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
sam-houston,6,2,2,0,0,ROUND_OF_64,2010,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
samford,5,3,3,0,0,ROUND_OF_64,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
san-diego,2,2,4,0,0,ROUND_OF_32,2008,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
san-diego-state,11,9,17,1,0,NATIONAL_RUNNER_UP,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
san-francisco,16,1,17,3,2,NATIONAL_CHAMPION,1956,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
san-jose-state,10,0,3,0,0,SWEET_SIXTEEN,1951,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
santa-clara,9,2,12,1,0,FINAL_FOUR,1952,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
se-louisiana,4,1,1,0,0,ROUND_OF_64,2005,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
seattle-u,1,0,11,1,0,NATIONAL_RUNNER_UP,1958,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
seton-hall,4,3,14,1,0,NATIONAL_RUNNER_UP,1989,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
siena,11,6,7,0,0,ROUND_OF_32,2009,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
siu-edwardsville,0,1,1,0,0,ROUND_OF_64,2025,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
smu,16,3,13,1,0,FINAL_FOUR,1956,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
south-alabama,11,5,8,0,0,ROUND_OF_32,1989,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
south-carolina,6,2,10,1,0,FINAL_FOUR,2017,VERIFIED,"Owner Gate 1 verified: 6 conference regular-season titles, 2 conference tournament titles, 10 NCAA appearances, 1 Final Four, 0 national championships, best finish Final Four in 2017.",MATCH,Verified through onboarding plan b04ed88ae7e7.
south-carolina-state,8,5,5,0,0,ROUND_OF_64,2003,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
south-carolina-upstate,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
south-dakota,1,1,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
south-dakota-state,9,7,7,0,0,ROUND_OF_64,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
south-florida,2,2,4,0,0,ROUND_OF_32,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
southeast-missouri-state,2,2,2,0,0,ROUND_OF_64,2000,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
southern,9,9,9,0,0,ROUND_OF_32,1993,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
southern-illinois,8,5,10,0,0,SWEET_SIXTEEN,2007,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
southern-indiana,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
southern-miss,3,0,3,0,0,ROUND_OF_64,2012,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
southern-utah,3,3,1,0,0,ROUND_OF_64,2001,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
st-bonaventure,6,2,8,1,0,FINAL_FOUR,1970,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
st-john-s,16,7,32,2,0,NATIONAL_RUNNER_UP,1952,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
st-thomas-minnesota,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
stanford,11,1,17,2,1,NATIONAL_CHAMPION,1942,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
stephen-f-austin,10,5,5,0,0,ROUND_OF_32,2016,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
stetson,0,1,1,0,0,ROUND_OF_64,2024,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
stonehill,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
stony-brook,4,1,1,0,0,ROUND_OF_64,2016,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
syracuse,9,8,37,6,1,NATIONAL_CHAMPION,2003,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
tarleton-state,0,0,0,0,0,,,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
tcu,11,0,12,0,0,ELITE_EIGHT,1968,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
temple,19,10,33,2,0,FINAL_FOUR,1958,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
tennessee,12,5,28,0,0,ELITE_EIGHT,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,MATCH,
tennessee-state,3,3,3,0,0,ROUND_OF_64,2026,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
tennessee-tech,7,1,2,0,0,ROUND_OF_32,1963,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
texas,25,4,40,3,0,FINAL_FOUR,2003,VERIFIED,"Owner Gate 1 approved verified reference values: 25 regular-season conference titles, 4 conference tournament titles, 40 NCAA appearances, 3 Final Fours, 0 national titles, best finish Final Four, best-finish year 2003.",MATCH,Verified through onboarding plan 5bd92d48b4b7.
texas-a-m,12,2,18,0,0,SWEET_SIXTEEN,2018,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
texas-a-m-corpus-christi,2,3,3,0,0,ROUND_OF_64,2023,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
texas-southern,12,11,11,0,0,ROUND_OF_64,2022,OWNER_BASELINE_UNVERIFIED,Owner-supplied 365-program baseline; authoritative source verification pending.,NOT_CHECKED,
