index,index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
194,194,maryland,Ohio,ohio,Ohio,Yes,2,2007-2008,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
195,195,maryland,Ohio State,ohio-state,Ohio State,Yes,25,1934-1935,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
196,196,maryland,Ohio University,ohio,Ohio,Yes,1,1981-1982,1981-1982,RESOLVED,Current D1 registry / Maryland source normalization,,
197,197,maryland,Ohio Wesleyan,ohio-wesleyan,Ohio Wesleyan,No,1,1949-1950,1949-1950,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
198,198,maryland,Oklahoma,oklahoma,Oklahoma,Yes,4,1992-1993,2001-2002,RESOLVED,Current D1 registry / Maryland source normalization,,
199,199,maryland,Oklahoma State,oklahoma-state,Oklahoma State,Yes,3,1966-1967,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
200,200,maryland,Old Dominion,old-dominion,Old Dominion,Yes,7,1982-1983,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
201,201,maryland,Oral Roberts,oral-roberts,Oral Roberts,Yes,1,2004-2005,2004-2005,RESOLVED,Current D1 registry / Maryland source normalization,,
202,202,maryland,Oregon,oregon,Oregon,Yes,3,2024-2025,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
203,203,maryland,Oregon State,oregon-state,Oregon State,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
204,204,maryland,Penn State,penn-state,Penn State,Yes,34,1960-1961,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
205,205,maryland,Pennsylvania,pennsylvania,Pennsylvania,Yes,15,1926-1927,2000-2001,RESOLVED,Current D1 registry / Maryland source normalization,,
206,206,maryland,Pepperdine,pepperdine,Pepperdine,Yes,2,1985-1986,2003-2004,RESOLVED,Current D1 registry / Maryland source normalization,,
207,207,maryland,Pittsburgh,pittsburgh,Pittsburgh,Yes,10,1976-1977,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
208,208,maryland,Princeton,princeton,Princeton,Yes,9,1924-1925,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
209,209,maryland,Providence,providence,Providence,Yes,3,1972-1973,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
210,210,maryland,Purdue,purdue,Purdue,Yes,17,2014-2015,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
211,211,maryland,Quantico Marines,quantico-marines,Quantico Marines,No,3,1943-1944,1946-1947,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
212,212,maryland,Quinnipiac,quinnipiac,Quinnipiac,Yes,1,2021-2022,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
213,213,maryland,Radford,radford,Radford,Yes,2,2011-2012,2018-2019,RESOLVED,Current D1 registry / Maryland source normalization,,
214,214,maryland,Randolph Macon,randolph-macon,Randolph Macon,No,5,1928-1929,1985-1986,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
215,215,maryland,Rhode Island,rhode-island,Rhode Island,Yes,5,1939-1940,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
216,216,maryland,Richmond,richmond,Richmond,Yes,42,1923-1924,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
217,217,maryland,Rider,rider,Rider,Yes,5,1991-1992,2023-2024,RESOLVED,Current D1 registry / Maryland source normalization,,
218,218,maryland,Rutgers,rutgers,Rutgers,Yes,26,1939-1940,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
219,219,maryland,Sacramento State,sacramento-state,Sacramento State,Yes,1,1989-1990,1989-1990,RESOLVED,Current D1 registry / Maryland source normalization,,
220,220,maryland,Saint Francis,saint-francis-pa,Saint Francis (PA),No,2,2015-2016,2024-2025,RESOLVED,Historical/non-current source identity or documented institutional lineage,,Maryland series/source context identifies Saint Francis (Pa.); retained as the Pennsylvania program identity.
221,221,maryland,Saint Louis,saint-louis,Saint Louis,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
222,222,maryland,Saint Peter’s,saint-peter-s,Saint Peter's,Yes,3,2016-2017,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
223,223,maryland,Samford,samford,Samford,Yes,1,2011-2012,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
224,224,maryland,San Francisco,san-francisco,San Francisco,Yes,2,1973-1974,1999-2000,RESOLVED,Current D1 registry / Maryland source normalization,,
225,225,maryland,Santa Clara,santa-clara,Santa Clara,Yes,2,1973-1974,1995-1996,RESOLVED,Current D1 registry / Maryland source normalization,,
226,226,maryland,Savannah State,savannah-state,Savannah State,Yes,1,2007-2008,2007-2008,RESOLVED,Current D1 registry / Maryland source normalization,,
227,227,maryland,Seattle Univ.,seattle-u,Seattle U,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
228,228,maryland,Seton Hall,seton-hall,Seton Hall,Yes,5,1941-1942,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
229,229,maryland,Siena,siena,Siena,Yes,2,2001-2002,2006-2007,RESOLVED,Current D1 registry / Maryland source normalization,,
230,230,maryland,So. California,usc,USC,Yes,1,1989-1990,1989-1990,RESOLVED,Current D1 registry / Maryland source normalization,,
231,231,maryland,South Alabama,south-alabama,South Alabama,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / Maryland source normalization,,
232,232,maryland,South Carolina,south-carolina,South Carolina,Yes,58,1924-1925,2004-2005,RESOLVED,Current D1 registry / Maryland source normalization,,
233,233,maryland,South Carolina State,south-carolina-state,South Carolina State,Yes,2,1998-1999,2012-2013,RESOLVED,Current D1 registry / Maryland source normalization,,
234,234,maryland,South Dakota State,south-dakota-state,South Dakota State,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
235,235,maryland,South Florida,south-florida,South Florida,Yes,2,1989-1990,1990-1991,RESOLVED,Current D1 registry / Maryland source normalization,,
236,236,maryland,Southern California,usc,USC,Yes,2,1978-1979,1990-1991,RESOLVED,Current D1 registry / Maryland source normalization,,
237,237,maryland,Southern Illinois,southern-illinois,Southern Illinois,Yes,1,1967-1968,1967-1968,RESOLVED,Current D1 registry / Maryland source normalization,,
238,238,maryland,St. Bonaventure,st-bonaventure,St. Bonaventure,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
239,239,maryland,St. Francis,saint-francis-pa,Saint Francis (PA),No,1,1955-1956,1955-1956,RESOLVED,Historical/non-current source identity or documented institutional lineage,,Maryland series/source context identifies Saint Francis (Pa.); retained as the Pennsylvania program identity.
240,240,maryland,St. John’s,st-john-s,St. John's,Yes,4,1941-1942,2006-2007,RESOLVED,Current D1 registry / Maryland source normalization,,
241,241,maryland,St. John’s (Annapolis),st-johns-annapolis,St. John's (Annapolis),No,14,1913-1914,1938-1939,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
242,242,maryland,St. Joseph’s,saint-joseph-s,Saint Joseph's,Yes,4,1971-1972,1982-1983,RESOLVED,Current D1 registry / Maryland source normalization,,
243,243,maryland,St. Louis,saint-louis,Saint Louis,Yes,1,1993-1994,1993-1994,RESOLVED,Current D1 registry / Maryland source normalization,,
244,244,maryland,St. Mary’s (MD),st-marys-md,St. Mary's College of Md.,No,1,2016-2017,2016-2017,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
245,245,maryland,St. Peter’s,saint-peter-s,Saint Peter's,Yes,1,1981-1982,1981-1982,RESOLVED,Current D1 registry / Maryland source normalization,,
246,246,maryland,Stanford,stanford,Stanford,Yes,3,1985-1986,2000-2001,RESOLVED,Current D1 registry / Maryland source normalization,,
247,247,maryland,Staunton Military,staunton-military,Staunton Military,No,1,1910-1911,1910-1911,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
248,248,maryland,Stevens Institute,stevens-institute,Stevens Institute,No,5,1924-1925,1927-1928,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
249,249,maryland,Stony Brook,stony-brook,Stony Brook,Yes,4,2000-2001,2017-2018,RESOLVED,Current D1 registry / Maryland source normalization,,
250,250,maryland,Syracuse,syracuse,Syracuse,Yes,10,1971-1972,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
251,251,maryland,Tampa,tampa,Tampa,No,2,1953-1954,1970-1971,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
252,252,maryland,Temple,temple,Temple,Yes,11,1948-1949,2019-2020,RESOLVED,Current D1 registry / Maryland source normalization,,
253,253,maryland,Tenn.-Chattanooga,chattanooga,Chattanooga,Yes,2,1980-1981,1982-1983,RESOLVED,Current D1 registry / Maryland source normalization,,
254,254,maryland,Tennessee,tennessee,Tennessee,Yes,5,1949-1950,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
255,255,maryland,Texas,texas,Texas,Yes,1,1994-1995,1994-1995,RESOLVED,Current D1 registry / Maryland source normalization,,
256,256,maryland,Texas A&M-CC,texas-a-m-corpus-christi,Texas A&M-Corpus Christi,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / Maryland source normalization,,
257,257,maryland,Texas Christian,tcu,TCU,Yes,2,1988-1989,2004-2005,RESOLVED,Current D1 registry / Maryland source normalization,,
258,258,maryland,Texas Tech,texas-tech,Texas Tech,Yes,1,1954-1955,1954-1955,RESOLVED,Current D1 registry / Maryland source normalization,,
259,259,maryland,Texas-El Paso,utep,UTEP,Yes,2,1967-1968,1988-1989,RESOLVED,Current D1 registry / Maryland source normalization,,
260,260,maryland,The Citadel,the-citadel,The Citadel,Yes,3,1937-1938,2002-2003,RESOLVED,Current D1 registry / Maryland source normalization,,
261,261,maryland,Towson,towson,Towson,Yes,12,1981-1982,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
262,262,maryland,Towson State,towson,Towson,Yes,1,1996-1997,1996-1997,RESOLVED,Current D1 registry / Maryland source normalization,,
263,263,maryland,Tulane,tulane,Tulane,Yes,1,1999-2000,1999-2000,RESOLVED,Current D1 registry / Maryland source normalization,,
264,264,maryland,Tulsa,tulsa,Tulsa,Yes,2,1964-1965,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
265,265,maryland,U.S. Merch. Marines,merchant-marine,U.S. Merchant Marine Academy,No,1,1945-1946,1945-1946,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
266,266,maryland,U.S. Merch.Marines,merchant-marine,U.S. Merchant Marine Academy,No,1,1944-1945,1944-1945,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
267,267,maryland,U.S. Merchant Marines,merchant-marine,U.S. Merchant Marine Academy,No,2,1945-1946,1946-1947,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
268,268,maryland,UAB,uab,UAB,Yes,1,2023-2024,2023-2024,RESOLVED,Current D1 registry / Maryland source normalization,,
269,269,maryland,UC Irvine,uc-irvine,UC Irvine,Yes,1,1990-1991,1990-1991,RESOLVED,Current D1 registry / Maryland source normalization,,
270,270,maryland,UC Santa Barbara,uc-santa-barbara,UC Santa Barbara,Yes,1,1987-1988,1987-1988,RESOLVED,Current D1 registry / Maryland source normalization,,
271,271,maryland,UCLA,ucla,UCLA,Yes,12,1973-1974,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
272,272,maryland,UConn,uconn,UConn,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / Maryland source normalization,,
273,273,maryland,UMBC,umbc,UMBC,Yes,16,1986-1987,2023-2024,RESOLVED,Current D1 registry / Maryland source normalization,,
274,274,maryland,UMES,maryland-eastern-shore,Maryland Eastern Shore,Yes,17,1979-1980,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
275,275,maryland,UNC Asheville,unc-asheville,UNC Asheville,Yes,2,1997-1998,2004-2005,RESOLVED,Current D1 registry / Maryland source normalization,,
276,276,maryland,UNC Charlotte,charlotte,Charlotte,Yes,1,1975-1976,1975-1976,RESOLVED,Current D1 registry / Maryland source normalization,,
277,277,maryland,UNC Greensboro,unc-greensboro,UNC Greensboro,Yes,4,1991-1992,2010-2011,RESOLVED,Current D1 registry / Maryland source normalization,,
278,278,maryland,UNC Wilmington,unc-wilmington,UNC Wilmington,Yes,3,1997-1998,2011-2012,RESOLVED,Current D1 registry / Maryland source normalization,,
279,279,maryland,UNLV,unlv,UNLV,Yes,6,1977-1978,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
280,280,maryland,USC,usc,USC,Yes,2,2024-2025,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
281,281,maryland,USC Upstate,south-carolina-upstate,South Carolina Upstate,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
282,282,maryland,UTEP,utep,UTEP,Yes,1,2003-2004,2003-2004,RESOLVED,Current D1 registry / Maryland source normalization,,
283,283,maryland,Utah,utah,Utah,Yes,1,1994-1995,1994-1995,RESOLVED,Current D1 registry / Maryland source normalization,,
284,284,maryland,Utah State,utah-state,Utah State,Yes,1,1997-1998,1997-1998,RESOLVED,Current D1 registry / Maryland source normalization,,
285,285,maryland,VCU,vcu,VCU,Yes,1,2007-2008,2007-2008,RESOLVED,Current D1 registry / Maryland source normalization,,
286,286,maryland,VMI,vmi,VMI,Yes,53,1910-1911,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
287,287,maryland,Valparaiso,valparaiso,Valparaiso,Yes,2,1998-1999,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
288,288,maryland,Vanderbilt,vanderbilt,Vanderbilt,Yes,1,1957-1958,1957-1958,RESOLVED,Current D1 registry / Maryland source normalization,,
289,289,maryland,Vermont,vermont,Vermont,Yes,3,2006-2007,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
290,290,maryland,Villanova,villanova,Villanova,Yes,7,1984-1985,2024-2025,RESOLVED,Current D1 registry / Maryland source normalization,,
291,291,maryland,Virginia,virginia,Virginia,Yes,185,1912-1913,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
292,292,maryland,Virginia Tech,virginia-tech,Virginia Tech,Yes,43,1925-1926,2021-2022,RESOLVED,Current D1 registry / Maryland source normalization,,
293,293,maryland,Wagner,wagner,Wagner,Yes,4,1980-1981,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
294,294,maryland,Wake Forest,wake-forest,Wake Forest,Yes,126,1952-1953,2013-2014,RESOLVED,Current D1 registry / Maryland source normalization,,
295,295,maryland,Washington,washington,Washington,Yes,2,2024-2025,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
296,296,maryland,Washington & Lee,washington-and-lee,Washington & Lee,No,53,1910-1911,1953-1954,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
297,297,maryland,Washington College,washington-college,Washington College,No,17,1924-1925,1941-1942,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
298,298,maryland,West Virginia,west-virginia,West Virginia,Yes,39,1925-1926,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
299,299,maryland,Western Carolina,western-carolina,Western Carolina,Yes,3,1998-1999,2022-2023,RESOLVED,Current D1 registry / Maryland source normalization,,
300,300,maryland,Western Kentucky,western-kentucky,Western Kentucky,Yes,2,1971-1972,1977-1978,RESOLVED,Current D1 registry / Maryland source normalization,,
301,301,maryland,Western Maryland,mcdaniel,McDaniel,No,12,1926-1927,1947-1948,RESOLVED,Historical/non-current source identity or documented institutional lineage,,Western Maryland is normalized to the McDaniel institutional lineage.
302,302,maryland,Wichita State,wichita-state,Wichita State,Yes,1,1968-1969,1968-1969,RESOLVED,Current D1 registry / Maryland source normalization,,
303,303,maryland,Widener College,widener,Widener,No,2,1910-1911,1913-1914,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
304,304,maryland,William & Mary,william-mary,William & Mary,Yes,31,1928-1929,2009-2010,RESOLVED,Current D1 registry / Maryland source normalization,,
305,305,maryland,Wingate,wingate,Wingate,No,1,2020-2021,2020-2021,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
306,306,maryland,Winston-Salem State,winston-salem-state,Winston-Salem State,No,1,2009-2010,2009-2010,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
307,307,maryland,Winthrop,winthrop,Winthrop,Yes,5,1986-1987,2014-2015,RESOLVED,Current D1 registry / Maryland source normalization,,
308,308,maryland,Wisconsin,wisconsin,Wisconsin,Yes,25,1931-1932,2025-2026,RESOLVED,Current D1 registry / Maryland source normalization,,
309,309,maryland,Woodrow Gen. Hospital,woodrow-gen-hospital,Woodrow Gen. Hospital,No,2,1943-1944,1943-1944,RESOLVED,Historical/non-current source identity or documented institutional lineage,,
310,310,maryland,Wyoming,wyoming,Wyoming,Yes,1,1960-1961,1960-1961,RESOLVED,Current D1 registry / Maryland source normalization,,
311,311,maryland,Xavier,xavier,Xavier,Yes,3,1976-1977,2016-2017,RESOLVED,Current D1 registry / Maryland source normalization,,
312,312,maryland,Yale,yale,Yale,Yes,1,1959-1960,1959-1960,RESOLVED,Current D1 registry / Maryland source normalization,,
313,313,maryland,Youngstown State,youngstown-state,Youngstown State,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / Maryland source normalization,,
